Show_id,Type,Title,Director,Date_added,Release_year,Duration,Genre
s1,Movie,Dick Johnson Is Dead,Kirsten Johnson,9/25/21,2020,90 min,Documentaries
s2,TV Show,Ganglands,Julien Leclercq,9/24/21,2021,1 Season,Crime TV Shows
s3,TV Show,Midnight Mass,Mike Flanagan,9/24/21,2021,1 Season,TV Dramas
s4,Movie,Sankofa,Haile Gerima,9/24/21,1993,125 min,Dramas
s5,TV Show,The Great British Baking Show,Andy Devonshire,9/24/21,2021,9 Seasons,British TV Shows
s6,Movie,The Starling,Theodore Melfi,9/24/21,2021,104 min,Comedies
s7,TV Show,Bangkok Breaking,Kongkiat Komesiri,9/23/21,2021,1 Season,Crime TV Shows
s8,Movie,Je Suis Karl,Christian Schwochow,9/23/21,2021,127 min,Dramas
s9,Movie,Confessions of an Invisible Girl,Bruno Garotti,9/22/21,2021,91 min,Children & Family Movies
s10,Movie,Intrusion,Adam Salky,9/22/21,2021,94 min,Thrillers
s11,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,9/22/21,2021,1 Season,Crime TV Shows
s12,Movie,Avvai Shanmughi,K.S. Ravikumar,9/21/21,1996,161 min,Comedies
s13,Movie,Jeans,S. Shankar,9/21/21,1998,166 min,Comedies
s14,Movie,Minsara Kanavu,Rajiv Menon,9/21/21,1997,147 min,Comedies
s15,Movie,Grown Ups,Dennis Dugan,9/20/21,2010,103 min,Comedies
s16,Movie,Dark Skies,Scott Stewart,9/19/21,2013,97 min,Horror Movies
s17,Movie,Paranoia,Robert Luketic,9/19/21,2013,106 min,Thrillers
s18,Movie,Ankahi Kahaniya,Ashwiny Iyer Tiwari,9/17/21,2021,111 min,Dramas
s19,Movie,The Father Who Moves Mountains,Daniel Sandu,9/17/21,2021,110 min,Dramas
s20,Movie,Birth of the Dragon,George Nolfi,9/16/21,2017,96 min,Action & Adventure
s21,Movie,Jaws,Steven Spielberg,9/16/21,1975,124 min,Action & Adventure
s22,Movie,Jaws 2,Jeannot Szwarc,9/16/21,1978,116 min,Dramas
s23,Movie,Jaws 3,Joe Alves,9/16/21,1983,98 min,Action & Adventure
s24,Movie,Jaws: The Revenge,Joseph Sargent,9/16/21,1987,91 min,Action & Adventure
s25,Movie,My Heroes Were Cowboys,Tyler Greco,9/16/21,2021,23 min,Documentaries
s26,Movie,Safe House,Daniel Espinosa,9/16/21,2012,115 min,Action & Adventure
s27,TV Show,The Smart Money Woman,Bunmi Ajakaiye,9/16/21,2020,1 Season,Romantic TV Shows
s28,Movie,Training Day,Antoine Fuqua,9/16/21,2001,122 min,Dramas
s29,Movie,House Party 3,Eric Meza,9/1/21,1994,94 min,Comedies
s30,TV Show,HQ Barbers,Gerhard Mostert,9/1/21,2020,1 Season,TV Shows
s31,Movie,I Got the Hook Up,Michael Martin,9/1/21,1998,93 min,Action & Adventure
s32,Movie,In Too Deep,Michael Rymer,9/1/21,1999,97 min,Thrillers
s33,Movie,Janoskians: Untold and Untrue,Brett Weiner,9/1/21,2016,88 min,Comedies
s34,Movie,Labyrinth,Jim Henson,9/1/21,1986,101 min,Action & Adventure
s35,Movie,Letters to Juliet,Gary Winick,9/1/21,2010,105 min,Comedies
s36,Movie,Level 16,Danishka Esterhazy,9/1/21,2018,102 min,Sci-Fi & Fantasy
s37,Movie,Love Don't Cost a Thing,Troy Byer,9/1/21,2003,101 min,Comedies
s38,Movie,Love in a Puff,Pang Ho-cheung,9/1/21,2010,103 min,Comedies
s39,Movie,Mars Attacks!,Tim Burton,9/1/21,1996,106 min,Comedies
s40,Movie,Marshall,Reginald Hudlin,9/1/21,2017,118 min,Dramas
s41,Movie,My Boss's Daughter,David Zucker,9/1/21,2003,86 min,Comedies
s42,Movie,Mystery Men,Kinka Usher,9/1/21,1999,121 min,Action & Adventure
s43,Movie,Once Upon a Time in America,Sergio Leone,9/1/21,1984,229 min,Classic Movies
s44,Movie,Poseidon,Wolfgang Petersen,9/1/21,2006,98 min,Action & Adventure
s45,Movie,Rhyme & Reason,Peter Spirer,9/1/21,1997,89 min,Documentaries
s46,Movie,Same Kind of Different as Me,Michael Carney,9/1/21,2017,120 min,Dramas
s47,Movie,School of Rock,Richard Linklater,9/1/21,2003,110 min,Comedies
s48,Movie,Snervous Tyler Oakley,Amy Rice,9/1/21,2015,83 min,Documentaries
s49,Movie,Tears of the Sun,Antoine Fuqua,9/1/21,2003,121 min,Action & Adventure
s50,Movie,The Blue Lagoon,Randal Kleiser,9/1/21,1980,105 min,Dramas
s51,Movie,The Golden Child,Michael Ritchie,9/1/21,1986,94 min,Action & Adventure
s52,Movie,The Guns of Navarone,J. Lee Thompson,9/1/21,1961,156 min,Action & Adventure
s53,Movie,The Nutty Professor,Tom Shadyac,9/1/21,1996,95 min,Comedies
s54,Movie,The Nutty Professor II: The Klumps,Peter Segal,9/1/21,2000,107 min,Comedies
s55,Movie,Welcome Home Roscoe Jenkins,Malcolm D. Lee,9/1/21,2008,114 min,Comedies
s56,Movie,In the Line of Fire,Wolfgang Petersen,8/31/21,1993,129 min,Action & Adventure
s57,Movie,Thimmarusu,Sharan Koppisetty,8/28/21,2021,125 min,Dramas
s58,Movie,Wind River,Taylor Sheridan,8/28/21,2017,107 min,Dramas
s59,Movie,C Kkompany,Sachin Yardi,8/27/21,2008,127 min,Action & Adventure
s60,Movie,EMI: Liya Hai To Chukana Padega,Saurabh Kabra,8/27/21,2008,128 min,Comedies
s61,Movie,He's All That,Mark Waters,8/27/21,2021,92 min,Comedies
s62,TV Show,King of Boys: The Return of the King,Kemi Adetiba,8/27/21,2021,1 Season,Crime TV Shows
s63,Movie,Koi Aap Sa,Partho Mitra,8/27/21,2006,135 min,Comedies
s64,Movie,Krishna Cottage,Santram Varma,8/27/21,2004,124 min,Action & Adventure
s65,Movie,Kucch To Hai,"Anil V. Kumar, Anurag Basu",8/27/21,2003,136 min,Dramas
s66,Movie,Kyaa Kool Hai Hum,Sangeeth Sivan,8/27/21,2005,165 min,Comedies
s67,Movie,Kyaa Kool Hain Hum 3,Umesh Ghadge,8/27/21,2016,124 min,Comedies
s68,Movie,Kyaa Super Kool Hain Hum,Sachin Yardi,8/27/21,2012,136 min,Comedies
s69,Movie,Kyo Kii... Main Jhuth Nahin Bolta,David Dhawan,8/27/21,2001,150 min,Comedies
s70,Movie,"LSD: Love, Sex Aur Dhokha",Dibakar Banerjee,8/27/21,2010,112 min,Dramas
s71,Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,Apoorva Lakhia,8/27/21,2008,119 min,Action & Adventure
s72,Movie,Once Upon a Time in Mumbaai,Milan Luthria,8/27/21,2010,133 min,Dramas
s73,Movie,Once Upon a Time in Mumbai Dobaara!,Milan Luthria,8/27/21,2013,142 min,Dramas
s74,Movie,Ragini MMS,Pawan Kripalani,8/27/21,2011,93 min,Horror Movies
s75,Movie,Ragini MMS 2,Bhushan Patel,8/27/21,2014,113 min,Horror Movies
s76,Movie,SAS: Rise of the Black Swan,Magnus Martens,8/27/21,2021,124 min,Action & Adventure
s77,Movie,Shootout at Lokhandwala,Apoorva Lakhia,8/27/21,2007,116 min,Action & Adventure
s78,Movie,The Dirty Picture,Milan Luthria,8/27/21,2011,145 min,Comedies
s79,TV Show,Clickbait,Brad Anderson,8/25/21,2021,1 Season,Crime TV Shows
s80,TV Show,John of God: The Crimes of a Spiritual Healer,"Mauricio Dias, Tatiana Villela",8/25/21,2021,1 Season,Crime TV Shows
s81,Movie,Really Love,Angel Kristi Williams,8/25/21,2020,95 min,Dramas
s82,Movie,The November Man,Roger Donaldson,8/25/21,2014,108 min,Action & Adventure
s83,Movie,The Old Ways,Christopher Alender,8/25/21,2020,90 min,Horror Movies
s84,Movie,The River Runner,Rush Sturges,8/25/21,2021,86 min,Documentaries
